evaluation_type,attack_id,window_id,p1_target_tag,target_tag,method,selected_action,predicted_safety_violation_duration,predicted_max_LIT101_overshoot,predicted_max_LIT101_undershoot,predicted_time_to_target,predicted_production_proxy,predicted_action_cost,predicted_cost,shield_interventions,n_p1_windows_total,n_p1_windows_valid,n_p1_windows_excluded,valid_window_ids,excluded_window_ids
counterfactual_model_rollout,30,30,LIT101,LIT101,B5_NO_ROOT_CAUSE,R5_P1_FALLBACK_CONTROL,0,0.0,0.0,60,52.76257799999994,1.0,-3.914386699999991,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,30,30,LIT101,LIT101,B5_NO_SHIELD,R10_SENSOR_ISOLATION_AND_FALLBACK,0,0.0,0.0,60,52.76257799999994,0.9,-7.01438669999999,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,33,33,LIT101,LIT101,B5_FULL,R3_SWITCH_TO_BACKUP_PUMP,0,0.0,0.0,20,34.295675700000004,1.3,-2.8443513550000006,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,33,33,LIT101,LIT101,B5_NO_TRUST,R0_KEEP_CURRENT,0,0.0,0.0,20,0.0,0.0,1.0,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,33,33,LIT101,LIT101,B5_NO_ROOT_CAUSE,R5_P1_FALLBACK_CONTROL,0,0.0,0.0,20,0.0,1.0,2.0,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,33,33,LIT101,LIT101,B5_NO_SHIELD,R10_SENSOR_ISOLATION_AND_FALLBACK,0,0.0,0.0,20,0.0,0.9,-1.1,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,34,34,P101,P101,B5_FULL,R3_SWITCH_TO_BACKUP_PUMP,0,0.0,0.0,24,30.778170500000012,1.3,-6.116725575000002,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,34,34,P101,P101,B5_NO_TRUST,R0_KEEP_CURRENT,0,0.0,0.0,24,0.0,0.0,1.2000000000000002,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,34,34,P101,P101,B5_NO_ROOT_CAUSE,R5_P1_FALLBACK_CONTROL,0,0.0,0.0,24,0.0,1.0,2.2,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,34,34,P101,P101,B5_NO_SHIELD,R3_SWITCH_TO_BACKUP_PUMP,0,0.0,0.0,24,30.778170500000012,1.3,-6.116725575000002,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,35,35,P101,P101,B5_FULL,R3_SWITCH_TO_BACKUP_PUMP,0,0.0,0.0,14,39.571933499999986,1.3,-7.9357900249999975,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,35,35,P101,P101,B5_NO_TRUST,R0_KEEP_CURRENT,0,0.0,0.0,14,0.0,0.0,0.7000000000000001,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,35,35,P101,P101,B5_NO_ROOT_CAUSE,R5_P1_FALLBACK_CONTROL,0,0.0,0.0,14,0.0,1.0,1.7000000000000002,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,35,35,P101,P101,B5_NO_SHIELD,R3_SWITCH_TO_BACKUP_PUMP,0,0.0,0.0,14,39.571933499999986,1.3,-7.9357900249999975,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,36,36,LIT101,LIT101,B5_FULL,R9_EMERGENCY_DRAIN_BOTH_PUMPS,0,0.0,0.0,5,82.66137219999996,2.0,-10.149205829999994,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,36,36,LIT101,LIT101,B5_NO_TRUST,R0_KEEP_CURRENT,0,0.0,0.0,11,10.5525156,0.0,-1.0328773399999998,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,36,36,LIT101,LIT101,B5_NO_ROOT_CAUSE,R5_P1_FALLBACK_CONTROL,0,0.0,0.0,11,10.5525156,1.0,-0.032877339999999755,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
counterfactual_model_rollout,36,36,LIT101,LIT101,B5_NO_SHIELD,R10_SENSOR_ISOLATION_AND_FALLBACK,0,0.0,0.0,11,10.5525156,0.9,-3.13287734,0,10,10,0,1|2|3|21|26|30|33|34|35|36,
