method,attack,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,flow_deviation_cost,downstream_overload_risk
B5_NO_TRUST,DELAYED_DETECTION_5_STEPS,96.0,96.0,96.0,96.0,0.0,96.0,96.0,473.6816081205119,0.0,0.0,52.44493490515615,1.4757709805721775,107.21999999999998,0.0,0.0,0.868,1.0,0.5875,0.7399885538524711,1.904245106034739,4.258021502914971,1.4757709805721633,0.0
B5_NO_WORLD_MODEL,DELAYED_DETECTION_5_STEPS,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.7880457215473,0.0,0.0,26.960352942864155,26.960352942864176,72.0,0.0,0.0,0.9366666666666668,0.6296294800221283,0.8020833333333334,0.705463664283432,1.904245106034739,4.258021502914971,26.960352942864166,0.0
B5_PROPOSED,DELAYED_DETECTION_5_STEPS,96.0,96.0,96.0,96.0,0.0,96.0,96.0,495.7880457215473,0.0,0.0,29.910352942864165,24.010352942864166,171.8,0.0,0.0,0.9366666666666668,0.8062827225130891,0.8020833333333334,0.804177545691906,1.904245106034739,4.258021502914971,24.010352942864152,0.0
B1_FULL_SHUTDOWN,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,11.233480392860066,42.687225492868265,238.5,0.0,1.0,0.9866666666666667,1.0,0.9166666666666666,0.9564970815434108,1.904245106034739,4.258021502914971,42.68722549286825,0.0
B2_RULE_BASED_FALLBACK,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9843333333333332,1.0,0.9020833333333333,0.9485137813006664,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B3_ANOMALY_PRIORITY_RECOVERY,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,76.92,0.0,1.0,0.9843333333333332,1.0,0.9020833333333333,0.9485137813006664,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B4_WORLD_MODEL_NO_TRUST,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.2795068931747,0.0,0.0,18.230969412574797,35.68973647315353,138.24000000000004,0.0,0.0,0.9819999999999999,1.0,0.8958333333333334,0.9450422053265999,1.904245106034739,4.258021502914971,35.68973647315352,0.0
B5_FULL,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,40.982115296581675,12.938590589146656,112.40000000000005,0.0,0.0,0.983,1.0,0.8979166666666668,0.9462078904701855,1.904245106034739,4.258021502914971,12.938590589146639,0.0
B5_NO_ROOT_CAUSE,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,53.92070588572833,0.0,96.0,0.0,1.0,0.9843333333333332,1.0,0.9020833333333333,0.9485137813006664,1.904245106034739,4.258021502914971,1.4210854715202004e-14,0.0
B5_NO_SHIELD,LIT101_DRIFT_HIGH_LEVEL,96.0,96.0,96.0,96.0,0.0,96.0,96.0,716.3295068931748,0.0,0.0,40.982115296581675,12.938590589146656,112.40000000000005,0.0,0.0,0.983,1.0,0.8979166666666668,0.9462078904701855,1.904245106034739,4.258021502914971,12.938590589146639,0.0
