attack,method,unique_shielded_actions,mean_inflow,mean_outflow,mean_level_delta,trajectory_signature,safety_violation_duration,production_loss,production
LIT101_FDI,B2_RULE_BASED_FALLBACK,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_FDI,B3_ANOMALY_PRIORITY_RECOVERY,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_FDI,B4_WORLD_MODEL_NO_TRUST,4,0.02580684684630774,0.11339207190001913,-0.08869473598937133,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,40.31365725772602,13.607048628002298
LIT101_FDI,B5_FULL,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_FDI,B5_NO_ROOT_CAUSE,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_FDI,B5_NO_SHIELD,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_FDI,B5_NO_TRUST,4,0.02580684684630774,0.11339207190001913,-0.08869473598937133,551.929|552.347|552.727|553.134|553.495|553.889|553.393|552.964|552.497|552.063|551.616|551.187,96.0,40.31365725772602,13.607048628002298
LIT101_FDI,B5_NO_WORLD_MODEL,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_FDI,B5_PROPOSED,2,0.10789058081751422,0.3362555130929446,-0.22947444321106408,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,13.570044314574954,40.35066157115337
LIT101_REPLAY,B1_FULL_SHUTDOWN,2,0.09067947530742254,0.0,0.08956996437180388,551.929|552.347|552.727|553.134|553.495|553.889|554.290|554.707|555.086|555.499|555.899|556.316,96.0,53.92070588572832,0.0
