method,attack,seed,time_to_safe_set,time_to_safe_after_attack,time_to_target_after_attack,time_to_recover_after_first_violation,recovery_success,safety_violation_duration,hard_safety_violation_duration,max_level_overshoot,max_level_undershoot,pump_empty_run_count,production,production_loss,action_cost,false_recovery_count,shield_intervention_count,trust_mask_accuracy,trust_detection_precision,trust_detection_recall,trust_detection_f1,one_step_rmse,multi_step_rollout_rmse,evaluation_type,flow_deviation_cost,downstream_overload_risk
B5_FULL,COMBINED_LIT101_FDI_MV101_OPEN,0,96,96,96,96,0,96,96,483.5868183680076,0.0,0,45.389868630010646,8.530837255717671,209.0,0,0,0.9883333333333333,0.9685863874345549,0.9635416666666666,0.9660574412532636,1.904245106034739,4.258021502914971,real_calibrated_simulation,8.530837255717671,0
B5_FULL,COMBINED_LIT101_FDI_MV101_OPEN,1,96,96,96,96,0,96,96,483.5265701249534,0.0,0,44.89052941429624,9.030176471432078,207.8,0,0,0.9866666666666667,0.9633507853403142,0.9583333333333334,0.9608355091383812,1.904245106034739,4.258021502914971,real_calibrated_simulation,9.030176471432078,0
B5_FULL,COMBINED_LIT101_FDI_MV101_OPEN,2,96,96,96,96,0,96,96,483.95266632243454,0.0,0,44.89052941429624,9.030176471432078,207.8,0,0,0.9866666666666667,0.9633507853403142,0.9583333333333334,0.9608355091383812,1.904245106034739,4.258021502914971,real_calibrated_simulation,9.030176471432078,0
B5_FULL,COMBINED_LIT101_FDI_MV101_OPEN,3,96,96,96,96,0,96,96,484.05215403489194,0.0,0,44.39119019858184,9.529515687146478,206.60000000000002,0,0,0.985,0.9581151832460733,0.953125,0.9556135770234986,1.904245106034739,4.258021502914971,real_calibrated_simulation,9.529515687146478,0
B5_FULL,COMBINED_LIT101_FDI_MV101_OPEN,4,96,96,96,96,0,96,96,483.8650739365049,0.0,0,44.39119019858184,9.529515687146478,206.60000000000002,0,0,0.985,0.9581151832460733,0.953125,0.9556135770234986,1.904245106034739,4.258021502914971,real_calibrated_simulation,9.529515687146478,0
B5_FULL,LIT101_DRIFT,0,96,96,96,96,0,96,96,495.80073987845685,0.0,0,27.409692158578558,26.51101372714976,102.80000000000001,0,0,0.9833333333333332,0.7049180327868853,0.8958333333333334,0.7889908256880733,1.904245106034739,4.258021502914971,real_calibrated_simulation,26.51101372714976,0
B5_FULL,LIT101_DRIFT,1,96,96,96,96,0,96,96,495.3097865373294,0.0,0,26.960352942864155,26.960352942864162,103.00000000000003,0,0,0.9816666666666667,0.6967213114754098,0.8854166666666666,0.7798165137614679,1.904245106034739,4.258021502914971,real_calibrated_simulation,26.960352942864162,0
B5_FULL,LIT101_DRIFT,2,96,96,96,96,0,96,96,495.89275616630937,0.0,0,26.960352942864155,26.960352942864162,102.80000000000001,0,0,0.9833333333333332,0.6991869918699187,0.8958333333333334,0.7853881278538812,1.904245106034739,4.258021502914971,real_calibrated_simulation,26.960352942864162,0
B5_FULL,LIT101_DRIFT,3,96,96,96,96,0,96,96,495.77464924770356,0.0,0,26.960352942864155,26.960352942864162,102.60000000000002,0,0,0.985,0.7016129032258065,0.90625,0.7909090909090909,1.904245106034739,4.258021502914971,real_calibrated_simulation,26.960352942864162,0
B5_FULL,LIT101_DRIFT,4,96,96,96,96,0,96,96,495.7898113549604,0.0,0,26.960352942864155,26.960352942864162,102.80000000000001,0,0,0.9833333333333332,0.6991869918699187,0.8958333333333334,0.7853881278538812,1.904245106034739,4.258021502914971,real_calibrated_simulation,26.960352942864162,0
B5_FULL,LIT101_FDI,0,96,96,96,96,0,96,96,483.57192568922164,0.0,0,40.889868630010646,13.030837255717671,101.00000000000003,0,0,0.9983333333333334,0.9405940594059405,0.9895833333333334,0.964467005076142,1.904245106034739,4.258021502914971,real_calibrated_simulation,13.030837255717671,0
